Suzanne Le Traore;"Spelunky 2";"Halo: The Master Chief Collection";"Persona 4: Golden";"The Legend of Heroes: Trails of Cold Steel 3";"Hades";"";"Halo: The Master Chief Collection";"Rogue Legacy 2";"Half-Life Alyx";""
Hortense Blondel;"Microsoft Flight Simulator";"Crusader Kings III";"Phasmophobia";"Cyberpunk 2077";"Half-Life: Alyx";"";"";"Phasmophobia";"Half-Life: Alyx";""
Sylvie Legendre de Voisin;"Outer Wilds";"Meteorfall: Krumit's Tale";"Cyberpunk 2077";"Ori and the Will of the Wisps";"Spelunky 2";"";"Disco Elysium";"Griftlands";"Myst";"Shenmue III"
Martin Peltier de Masse;"Satisfactory";"Hades";"Horizon Zero Dawn";"Ori and the Will of Wisps";"Persona 4 Golden";"";"Rocket League";"None";"None";"Borderlands 3"
Denis Legendre;"Monster Train";"Hades";"Spiritfarer";"Ori and the Will of the Wisps";"Outer Wilds";"";"Pistol Whip";"Teardown";"The Room VR: A Dark Matter";"Half-life: Alyx"
Roger de Noel;"Signs of the Sojourner";"Manifold Garden";"Monster Train";"Factorio";"Umurangi Generation";"";"Slay the Spire";"ULTRAKILL";"Half-Life: Alyx";"Wattam"
Aimée Pons;"Streets of Rage 4";"Spelunky 2";"Crusader Kings 3";"Yakuza: Like a Dragon";"Resident Evil 3 ";"";"Terraria";"Phasmophobia";"";"Warcraft 3: Reforged"
Laure-Marie Lefebvre;"";"";"";"Horizon Zero Dawn: Complete Edition";"Death Stranding";"";"";"";"";""
Margaux Lebreton;"";"";"";"";"Hades";"";"BallisticNG";"";"";""
Gilbert Gosselin-Leroy;"";"";"Serious Sam 4";"Doom Eternal";"Half-Life Alyx";"";"Control";"";"Half-Life Alyx";""
Vincent Meunier;"Genshin Impact";"Persona 4 Golden";"Monster Hunter World: Iceborne";"Wasteland 3";"Phantasy Star Online 2";"";"Final Fantasy XIV";"ATOM RPG Trudogard";"Hal Life: Alyx";"Cyberpunk 20077"
David Toussaint;"Death Stranding";"Persona 4 Golden";"Yakuza: Like a Dragon";"Hades";"Half Life: Alyx";"";"";"Ultrakill";"Half Life: Alyx";""
Agathe-Geneviève Chevalier;"Haven";"Resident Evil 3";"The Legend of Heroes: Trails of Cold Steel 3";"Streets of Rage 4";"Persona 4 Golden";"";"";"";"";""
Denis Bodin;"Trials of Mana";"XCOM: Chimera Squad";"Death Stranding";"Murder by Numbers";"Hades";"";"No Man's Sky";"";"Half-Life: Alyx";""
Charles Carlier-Martinez;"Lair of the Clockwork God";"Black Mesa";"Ori and the Will of the Wisps";"Half-Life: Alyx";"The Room VR: A Dark Matter";"";"";"Gunfire Reborn";"The Room VR: A Dark Matter";"XIII"
Yves Meyer;"";"Cook Serve Delicious! 3?!";"One Step From Eden";"Hades";"Spiritfarer";"";"Raft";"";"";""
Philippe Begue-Wagner;"Hades";"Paradise Killer";"DOOM Eternal";"Yakuza: Like a Dragon";"Crusader Kings III";"";"Among Us";"Ultrakill";"Half-Life: Alyx";"Warcraft 3 Reforged"
Nicolas Faivre;"Wattam";"Shantae and the Seven Sirens";"Röki";"Beyond a Steel Sky";"Death Stranding";"";"";"";"";""
Nicolas Peltier;"DOOM Eternal";"What Comes After";"Carto";"A Monster's Expedition";"Post Void";"";"-";"Cook, Serve, Delicious! 3?!";"-";"Wattam (does it count? if no, then please dismiss)"
Emmanuel Le Barre;"Wonderful 101";"Kingdom Rush Vengeance";"Hades";"Kentucky Route Zero";"Factorio";"";"No Man's Sky";"Space Haven";"";""
Isaac Julien;"Ori 2";"Streets of Rage 4";"Monster Train";"Paradise Killer";"Fae Tactics";"";"Street Fighter V";"";"Half Life Alyx";"Call of Duty: Cold War"
Julie Berger;"";"";"Amazing Cultivation Simulator";"Control";"Noita";"";"Minecraft";"Townscaper";"";"Cyberpunk 2077"
Sébastien Pierre-Navarro;"Still There";"There Is No Game";"Black Mesa";"Noita";"Hades";"";"Escape From Tarkov";"Songs of Syx";"";"The Walking Evil"
Pierre Charles;"Borderlands 3";"Hades";"Persona 4 Golden";"Wasteland 3";"Cyberpunk 2077";"";"Fallout 76";"Rogue Legacy 2";"Half-life: Alyx";"Epic Games, CD Project Red, Ubisoft"
Étienne Roche;"";"";"Chronicon";"Sam&Max Save the World Remastered";"Embracelet";"";"";"";"";"EGS :)"
Édith Jean de la Rousset;"";"";"Tell Me Why";"Doom Eternal";"Half-Life: Alyx";"";"Halo: The Master Chief Collection";"";"Half-Life: Alyx";""
Margaud Vaillant;"";"";"Command and Conquer: Remastered";"XCOM: Chimera Squad";"Factorio";"";"Remnant: From the Ashes";"";"Half-Life: Alyx";""
Guy Gregoire-Martin;"Ori and the Will of the Wisps";"Persona 4 Golden";"Death Stranding";"Spelunky 2";"Cyberpunk 2077";"";"Halo: The Master Chief Collection";"";"";""
Gabriel Lemoine;"Yakuza: Like a Dragon";"Ori and the Will of the Wisps";"Horizon Zero Dawn Complete Edition";"Hades";"Doom Eternal";"";"Dying Light";"ULTRAKILL";"Half-Life: Alyx";"XIII Remake"
Élise Pottier;"Fae Tactics";"XCOM: Chimera Squad";"Lightmatter";"Fall Guys: Ultimate Knockout";"Black Mesa";"";"Battle Brothers";"";"";""
Frédérique Bouvier;"Filament";"Ori and the Will of the Wisps";"Spiritfarer";"Hades";"Immortals Fenyx Rising";"";"No Man's Sky";"Rogue Legacy 2";"Half-Life Alyx";"Tell Me Why"
Gabrielle Blondel;"Cyberpunk 2077";"Ori and the Will of the Wisps";"Horizon Zero Dawn";"Doom Eternal";"Half-Life: Alyx";"";"";"";"Half-Life: Alyx";""
Honoré Renaud;"Nexomon";"Higurashi When They Cry Hou - Ch.8 Matsuribayashi";"Persona 4 Golden";"Ori and the Will of the Wisp";"Genshin Impact";"";"";"";"";""
